date,open,high,low,close,volume
1970-01-02 00:00:00,61.75,62.0,61.63,62.0,1296000
1970-01-05 00:00:00,62.0,63.0,61.88,63.0,2041600
1970-01-06 00:00:00,63.0,63.13,62.25,62.88,1385600
1970-01-07 00:00:00,62.88,62.88,62.38,62.5,1075200
1970-01-08 00:00:00,62.5,63.0,62.25,62.63,1139200
1970-01-09 00:00:00,62.63,62.88,62.38,62.88,1136000
1970-01-12 00:00:00,62.88,63.0,62.38,62.38,1033600
1970-01-13 00:00:00,62.38,62.75,62.13,62.13,1411200
1970-01-14 00:00:00,62.13,62.25,61.88,62.25,1353600
1970-01-15 00:00:00,62.25,62.25,61.5,61.63,1344000
1970-01-16 00:00:00,61.63,62.0,61.63,61.88,1180800
1970-01-19 00:00:00,61.88,62.0,61.5,61.88,736000
1970-01-20 00:00:00,61.88,62.25,61.63,61.63,1401600
1970-01-21 00:00:00,61.63,62.0,61.5,61.5,953600
1970-01-22 00:00:00,61.5,61.63,61.0,61.13,1440000
1970-01-23 00:00:00,61.13,61.13,60.13,60.25,2035200
1970-01-26 00:00:00,60.25,60.5,60.0,60.38,1091200
1970-01-27 00:00:00,60.13,60.13,59.5,60.0,2131200
1970-01-28 00:00:00,60.0,60.0,58.0,58.13,1606400
1970-01-29 00:00:00,57.63,57.63,56.88,56.88,1699200
1970-01-30 00:00:00,56.75,56.75,56.0,56.38,2313600
1970-02-02 00:00:00,56.38,56.38,56.0,56.0,2864000
1970-02-03 00:00:00,56.0,57.5,55.75,57.13,2579200
1970-02-04 00:00:00,57.13,57.25,56.75,57.0,2051200
1970-02-05 00:00:00,57.0,57.0,56.75,56.88,1721600
1970-02-06 00:00:00,56.13,56.13,55.38,55.5,1654400
1970-02-09 00:00:00,55.5,55.75,55.13,55.25,1465600
1970-02-10 00:00:00,55.0,55.0,52.75,53.25,2899200
1970-02-11 00:00:00,53.25,53.63,52.5,53.63,2361600
1970-02-12 00:00:00,53.5,53.5,51.5,52.25,2640000
1970-02-13 00:00:00,52.25,52.38,51.5,52.0,2460800
1970-02-16 00:00:00,50.75,50.75,50.13,50.38,3664000
1970-02-17 00:00:00,50.38,50.38,49.88,50.13,3190400
1970-02-18 00:00:00,50.75,53.25,50.75,52.88,4595200
1970-02-19 00:00:00,53.63,54.63,53.63,53.63,3475200
1970-02-20 00:00:00,53.63,55.25,53.0,55.13,4480000
1970-02-24 00:00:00,55.13,56.75,54.75,54.88,3881600
1970-02-25 00:00:00,54.88,55.88,53.0,55.75,4934400
1970-02-26 00:00:00,55.25,55.25,53.88,54.13,3811200
1970-02-27 00:00:00,54.13,54.88,54.0,54.0,4304000
1970-03-02 00:00:00,54.0,54.88,53.5,53.5,5280000
1970-03-03 00:00:00,53.5,53.75,52.88,53.25,5171200
1970-03-04 00:00:00,53.25,53.75,53.25,53.5,4860800
1970-03-05 00:00:00,53.5,54.38,53.5,54.0,4976000
1970-03-06 00:00:00,53.75,53.75,53.13,53.5,4950400
1970-03-09 00:00:00,53.38,53.38,52.88,52.88,7708800
1970-03-10 00:00:00,52.88,54.13,52.5,53.88,5945600
1970-03-11 00:00:00,54.38,55.0,54.38,54.88,3705600
1970-03-12 00:00:00,54.88,54.88,54.0,54.63,3001600
1970-03-13 00:00:00,54.63,54.63,54.13,54.63,2595200
1970-03-16 00:00:00,54.63,54.63,53.75,54.5,2089600
1970-03-17 00:00:00,54.5,54.63,54.0,54.5,1654400
1970-03-18 00:00:00,54.5,55.75,54.5,55.0,1980800
1970-03-19 00:00:00,55.0,55.5,54.88,55.0,2073600
