date,open,high,low,close,volume
1970-01-02 00:00:00,51.13,52.25,51.13,52.25,526400
1970-01-05 00:00:00,52.25,52.88,52.13,52.5,1121600
1970-01-06 00:00:00,52.5,52.75,51.5,51.75,553600
1970-01-07 00:00:00,51.75,51.88,51.13,51.63,451200
1970-01-08 00:00:00,52.25,53.0,52.25,52.63,635200
1970-01-09 00:00:00,52.63,52.75,52.38,52.75,515200
1970-01-12 00:00:00,52.75,53.13,52.0,52.38,334400
1970-01-13 00:00:00,52.38,52.38,51.5,51.63,372800
1970-01-14 00:00:00,51.63,51.63,49.63,50.0,1124800
1970-01-15 00:00:00,50.0,50.25,49.63,49.88,336000
1970-01-16 00:00:00,49.88,50.0,49.38,49.88,425600
1970-01-19 00:00:00,49.88,49.88,49.38,49.75,508800
1970-01-20 00:00:00,49.75,49.75,49.13,49.25,588800
1970-01-21 00:00:00,49.25,49.38,48.75,48.88,454400
1970-01-22 00:00:00,48.88,49.5,48.5,49.0,640000
1970-01-23 00:00:00,49.0,49.0,48.5,48.75,427200
1970-01-26 00:00:00,48.75,48.75,47.63,48.38,732800
1970-01-27 00:00:00,48.25,48.25,47.13,48.25,540800
1970-01-28 00:00:00,48.25,48.5,46.63,46.63,499200
1970-01-29 00:00:00,46.63,47.0,46.0,46.5,696000
1970-01-30 00:00:00,46.5,47.0,45.75,46.13,817600
1970-02-02 00:00:00,46.13,46.5,45.75,46.0,937600
1970-02-03 00:00:00,46.0,46.13,45.5,45.63,1971200
1970-02-04 00:00:00,45.63,46.13,45.63,46.0,534400
1970-02-05 00:00:00,46.0,46.0,45.63,46.0,337600
1970-02-06 00:00:00,46.0,46.0,45.63,45.75,272000
1970-02-09 00:00:00,45.75,46.0,45.63,45.63,558400
1970-02-10 00:00:00,45.63,45.88,43.25,43.25,996800
1970-02-11 00:00:00,43.25,44.25,42.25,44.25,878400
1970-02-12 00:00:00,44.25,44.75,42.75,43.25,816000
1970-02-13 00:00:00,43.25,44.13,42.63,43.5,492800
1970-02-16 00:00:00,43.5,44.0,43.13,44.0,488000
1970-02-17 00:00:00,44.0,44.13,43.38,43.75,451200
1970-02-18 00:00:00,44.0,45.0,44.0,44.88,1028800
1970-02-19 00:00:00,45.0,45.75,45.0,45.38,824000
1970-02-20 00:00:00,45.38,46.0,45.38,46.0,1166400
1970-02-24 00:00:00,46.0,46.0,45.63,46.0,1043200
1970-02-25 00:00:00,46.25,47.5,46.25,47.5,593600
1970-02-26 00:00:00,47.5,48.38,47.38,48.0,862400
1970-02-27 00:00:00,48.0,48.5,47.5,47.5,1246400
1970-03-02 00:00:00,47.5,47.5,46.25,46.63,518400
1970-03-03 00:00:00,46.63,47.0,45.63,46.38,544000
1970-03-04 00:00:00,46.38,46.88,45.88,46.0,422400
1970-03-05 00:00:00,45.88,45.88,45.38,45.75,684800
1970-03-06 00:00:00,45.75,46.13,45.5,46.13,481600
1970-03-09 00:00:00,46.13,46.75,45.5,45.88,524800
1970-03-10 00:00:00,45.88,46.38,45.63,46.13,430400
1970-03-11 00:00:00,46.13,46.38,46.0,46.13,843200
1970-03-12 00:00:00,46.13,46.13,45.63,45.88,539200
1970-03-13 00:00:00,45.88,45.88,44.75,45.25,688000
1970-03-16 00:00:00,44.88,44.88,43.25,44.88,732800
1970-03-17 00:00:00,44.88,45.13,44.25,44.88,564800
1970-03-18 00:00:00,44.88,45.75,44.63,45.25,436800
1970-03-19 00:00:00,45.25,45.25,44.13,44.13,827200
1970-03-20 00:00:00,44.13,44.25,43.75,44.25,372800
1970-03-23 00:00:00,44.0,44.0,43.38,43.75,539200
1970-03-24 00:00:00,43.75,44.5,43.5,44.13,355200
1970-03-25 00:00:00,44.38,45.88,44.38,45.0,987200
1970-03-26 00:00:00,44.88,44.88,43.5,44.0,1644800
1970-03-30 00:00:00,44.0,44.0,43.63,43.88,628800
1970-03-31 00:00:00,43.88,44.63,43.75,44.5,579200
1970-04-01 00:00:00,44.5,45.38,44.5,45.38,1028800
1970-04-02 00:00:00,45.38,45.38,44.13,44.5,1150400
1970-04-03 00:00:00,44.5,45.0,44.25,45.0,449600
1970-04-06 00:00:00,45.0,45.25,44.63,45.13,384000
1970-04-07 00:00:00,45.13,45.13,44.5,44.5,422400
1970-04-08 00:00:00,44.5,44.88,44.38,44.88,321600
1970-04-09 00:00:00,44.75,44.75,44.0,44.75,520000
1970-04-10 00:00:00,44.75,44.75,44.38,44.5,360000
1970-04-13 00:00:00,44.5,44.75,44.13,44.25,408000
1970-04-14 00:00:00,44.25,44.25,43.75,43.88,563200
1970-04-15 00:00:00,43.88,44.0,43.63,43.88,385600
1970-04-16 00:00:00,43.88,43.88,43.0,43.25,816000
1970-04-17 00:00:00,43.25,43.63,43.0,43.38,286400
1970-04-20 00:00:00,43.38,43.75,43.25,43.38,350400
1970-04-21 00:00:00,43.38,43.63,43.13,43.38,302400
1970-04-22 00:00:00,43.38,43.38,42.5,43.13,440000
1970-04-23 00:00:00,43.13,43.25,42.5,43.0,516800
1970-04-24 00:00:00,43.0,43.25,42.25,42.38,548800
1970-04-27 00:00:00,42.38,42.75,42.0,42.0,582400
1970-04-28 00:00:00,42.0,42.38,41.0,41.38,860800
1970-04-29 00:00:00,41.38,41.88,40.0,41.75,873600
1970-04-30 00:00:00,41.75,42.38,41.38,41.75,430400
1970-05-01 00:00:00,41.75,41.75,40.5,41.75,707200
1970-05-04 00:00:00,41.75,41.88,40.5,41.0,537600
1970-05-05 00:00:00,40.88,40.88,40.13,40.25,633600
1970-05-06 00:00:00,40.25,40.5,39.75,40.13,1187200
1970-05-07 00:00:00,40.13,40.38,39.63,40.13,563200
1970-05-08 00:00:00,40.13,40.38,39.88,40.0,531200
1970-05-11 00:00:00,40.0,40.13,39.5,39.88,580800
1970-05-12 00:00:00,39.88,40.5,39.25,39.88,913600
1970-05-13 00:00:00,39.88,40.0,38.63,39.63,742400
1970-05-14 00:00:00,39.63,40.88,39.5,40.25,846400
1970-05-15 00:00:00,40.25,41.0,39.88,41.0,449600
1970-05-18 00:00:00,41.0,41.5,40.5,41.5,518400
1970-05-19 00:00:00,41.5,41.88,40.75,40.75,273600
1970-05-20 00:00:00,40.75,41.0,40.0,40.25,337600
1970-05-21 00:00:00,40.25,40.5,39.5,39.75,577600
1970-05-22 00:00:00,39.75,40.88,39.63,39.88,348800
1970-05-25 00:00:00,39.88,40.0,39.5,39.75,334400
1970-05-26 00:00:00,39.75,39.88,39.13,39.75,532800
1970-05-27 00:00:00,39.75,41.75,39.63,41.0,625600
1970-05-28 00:00:00,41.13,42.63,41.13,42.5,505600
1970-05-29 00:00:00,42.5,43.63,42.13,43.5,544000
1970-06-01 00:00:00,43.5,44.5,43.13,44.38,537600
1970-06-02 00:00:00,44.38,44.63,43.0,43.88,435200
1970-06-03 00:00:00,43.88,44.88,43.5,44.63,420800
1970-06-04 00:00:00,44.63,45.0,43.13,43.13,587200
1970-06-05 00:00:00,42.88,42.88,42.0,42.13,382400
1970-06-08 00:00:00,42.13,42.5,41.63,41.88,334400
1970-06-09 00:00:00,41.75,41.75,41.0,41.13,260800
1970-06-10 00:00:00,41.13,41.38,40.63,41.13,406400
1970-06-11 00:00:00,41.13,41.25,40.25,41.0,353600
1970-06-12 00:00:00,41.0,41.38,40.63,41.13,329600
1970-06-15 00:00:00,41.0,41.0,40.63,41.0,294400
1970-06-16 00:00:00,41.0,42.38,40.63,41.88,491200
1970-06-17 00:00:00,41.88,42.63,41.25,41.63,376000
1970-06-18 00:00:00,41.63,42.13,41.0,42.13,452800
1970-06-19 00:00:00,42.13,42.38,41.63,41.88,355200
1970-06-22 00:00:00,41.75,41.75,41.0,41.38,288000
1970-06-23 00:00:00,41.38,41.5,41.0,41.13,321600
1970-06-24 00:00:00,40.88,40.88,40.0,40.38,448000
1970-06-25 00:00:00,40.38,40.5,40.0,40.25,300800
1970-06-26 00:00:00,40.25,40.38,40.0,40.38,291200
1970-06-29 00:00:00,40.25,40.25,40.0,40.25,238400
1970-06-30 00:00:00,40.25,40.38,40.0,40.25,313600
1970-07-01 00:00:00,40.25,40.38,39.75,40.13,321600
1970-07-02 00:00:00,40.13,40.38,39.75,39.88,307200
1970-07-06 00:00:00,39.88,39.88,38.63,38.88,907200
1970-07-07 00:00:00,38.88,39.0,38.25,38.5,545600
1970-07-08 00:00:00,38.5,38.88,38.0,38.88,585600
1970-07-09 00:00:00,38.88,39.25,38.63,39.0,529600
1970-07-10 00:00:00,39.25,39.75,39.25,39.63,556800
1970-07-13 00:00:00,39.75,40.0,39.75,40.0,464000
1970-07-14 00:00:00,40.0,40.25,39.63,39.75,387200
1970-07-15 00:00:00,39.75,40.25,39.63,39.88,366400
1970-07-16 00:00:00,40.25,41.13,40.25,41.0,748800
1970-07-17 00:00:00,41.13,42.25,41.13,42.25,838400
1970-07-20 00:00:00,42.25,42.75,42.13,42.5,811200
1970-07-21 00:00:00,42.5,43.0,42.13,42.5,716800
1970-07-22 00:00:00,42.5,42.88,42.0,42.38,459200
1970-07-23 00:00:00,42.38,44.5,42.25,44.0,1011200
1970-07-24 00:00:00,44.0,44.88,43.25,43.5,590400
1970-07-27 00:00:00,43.5,43.88,43.25,43.5,475200
1970-07-28 00:00:00,43.5,43.63,43.0,43.0,492800
1970-07-29 00:00:00,43.0,43.63,43.0,43.13,344000
1970-07-30 00:00:00,43.25,43.88,43.25,43.75,822400
1970-07-31 00:00:00,43.88,44.5,43.88,44.0,504000
1970-08-03 00:00:00,44.0,44.0,43.0,43.63,412800
1970-08-04 00:00:00,43.25,43.25,42.25,43.25,304000
1970-08-05 00:00:00,43.25,43.5,42.63,43.13,296000
1970-08-06 00:00:00,43.13,43.38,42.63,43.13,312000
1970-08-07 00:00:00,43.13,44.75,43.0,44.5,537600
1970-08-10 00:00:00,44.5,44.75,43.13,43.75,630400
1970-08-11 00:00:00,43.75,43.75,43.25,43.38,187200
1970-08-12 00:00:00,43.38,43.5,43.0,43.5,248000
1970-08-13 00:00:00,43.5,43.5,42.88,43.38,256000
1970-08-14 00:00:00,43.38,43.63,42.63,42.63,316800
1970-08-17 00:00:00,42.63,42.75,42.13,42.5,462400
1970-08-18 00:00:00,42.5,43.5,42.5,43.5,716800
1970-08-19 00:00:00,43.75,45.13,43.75,44.5,1286400
1970-08-20 00:00:00,44.63,46.13,44.63,46.13,1256000
1970-08-21 00:00:00,46.13,46.63,46.13,46.5,992000
1970-08-24 00:00:00,46.63,48.0,46.63,47.38,1440000
1970-08-25 00:00:00,47.38,47.63,46.63,47.5,484800
1970-08-26 00:00:00,47.38,47.38,46.63,46.63,585600
1970-08-27 00:00:00,46.63,47.25,46.13,47.25,796800
1970-08-28 00:00:00,47.25,47.25,46.63,47.25,456000
1970-08-31 00:00:00,47.25,47.5,47.25,47.5,412800
1970-09-01 00:00:00,47.5,47.5,47.0,47.38,611200
1970-09-02 00:00:00,47.38,47.5,46.75,47.5,475200
1970-09-03 00:00:00,47.5,47.88,47.38,47.75,550400
1970-09-04 00:00:00,47.75,48.0,47.5,47.63,568000
1970-09-08 00:00:00,47.63,47.88,46.75,47.75,585600
1970-09-09 00:00:00,47.75,48.0,47.38,47.63,436800
1970-09-10 00:00:00,47.5,47.5,46.5,46.5,403200
1970-09-11 00:00:00,46.5,47.0,46.38,46.63,328000
1970-09-14 00:00:00,46.63,46.88,46.0,46.25,300800
1970-09-15 00:00:00,46.25,46.38,45.63,45.88,297600
1970-09-16 00:00:00,45.88,45.88,45.13,45.5,1110400
1970-09-17 00:00:00,45.5,46.0,45.38,45.63,692800
1970-09-18 00:00:00,45.63,47.38,45.63,46.75,1400000
1970-09-21 00:00:00,46.75,46.75,46.0,46.0,593600
1970-09-22 00:00:00,45.63,45.63,45.0,45.13,593600
1970-09-23 00:00:00,45.13,47.13,45.0,46.13,1156800
1970-09-24 00:00:00,46.13,46.75,46.13,46.5,1000000
1970-09-25 00:00:00,46.5,46.88,46.25,46.75,552000
1970-09-28 00:00:00,46.75,46.75,46.13,46.63,419200
1970-09-29 00:00:00,46.63,46.75,46.0,46.38,596800
1970-09-30 00:00:00,46.25,46.25,45.5,45.63,558400
1970-10-01 00:00:00,45.63,46.0,45.25,46.0,262400
1970-10-02 00:00:00,46.0,47.0,46.0,46.88,758400
1970-10-05 00:00:00,47.0,47.63,47.0,47.63,632000
1970-10-06 00:00:00,47.63,48.38,47.5,48.25,912000
1970-10-07 00:00:00,48.25,48.63,48.0,48.63,769600
1970-10-08 00:00:00,48.63,49.63,48.38,48.63,1048000
1970-10-09 00:00:00,48.63,48.75,47.75,47.75,990400
1970-10-12 00:00:00,47.75,47.88,47.25,47.63,228800
1970-10-13 00:00:00,47.63,47.75,47.25,47.38,531200
1970-10-14 00:00:00,47.38,48.0,47.38,48.0,376000
1970-10-15 00:00:00,48.0,48.63,47.88,48.63,454400
1970-10-16 00:00:00,48.63,48.88,48.13,48.63,377600
1970-10-19 00:00:00,48.5,48.5,47.63,47.63,409600
1970-10-20 00:00:00,47.63,48.0,47.13,47.25,348800
1970-10-21 00:00:00,47.38,48.13,47.38,48.0,464000
1970-10-22 00:00:00,48.0,48.13,47.63,47.63,377600
1970-10-23 00:00:00,47.63,48.0,47.5,48.0,536000
1970-10-26 00:00:00,48.0,48.0,47.13,47.13,388800
1970-10-27 00:00:00,47.13,47.13,46.25,47.0,441600
1970-10-28 00:00:00,47.0,47.5,46.13,47.5,667200
1970-10-29 00:00:00,47.5,48.0,47.25,47.75,737600
1970-10-30 00:00:00,47.75,48.13,47.25,48.13,654400
1970-11-02 00:00:00,48.13,48.13,47.75,47.88,684800
1970-11-03 00:00:00,47.88,48.38,47.75,48.25,385600
1970-11-04 00:00:00,48.0,48.0,47.38,48.0,435200
1970-11-05 00:00:00,48.0,48.25,47.63,48.0,582400
1970-11-06 00:00:00,48.0,48.38,48.0,48.38,596800
1970-11-09 00:00:00,48.38,48.5,48.0,48.25,403200
1970-11-10 00:00:00,48.25,48.38,48.0,48.25,526400
1970-11-11 00:00:00,48.38,48.75,48.38,48.5,473600
1970-11-12 00:00:00,48.5,48.75,48.25,48.5,395200
1970-11-13 00:00:00,48.38,48.38,48.0,48.13,456000
1970-11-16 00:00:00,48.13,48.25,47.88,48.0,494400
1970-11-17 00:00:00,48.0,48.25,48.0,48.0,222400
1970-11-18 00:00:00,48.0,48.0,47.5,47.75,312000
1970-11-19 00:00:00,47.75,47.88,47.5,47.75,257600
1970-11-20 00:00:00,47.75,47.75,47.25,47.38,324800
1970-11-23 00:00:00,47.38,47.88,47.13,47.63,444800
1970-11-24 00:00:00,47.63,48.25,47.13,48.0,598400
1970-11-25 00:00:00,48.0,49.25,48.0,48.88,849600
1970-11-27 00:00:00,48.88,50.0,48.75,50.0,1160000
1970-11-30 00:00:00,50.0,51.88,50.0,51.0,2496000
1970-12-01 00:00:00,51.0,52.0,50.63,50.88,1976000
1970-12-02 00:00:00,50.88,51.38,50.5,51.0,492800
1970-12-03 00:00:00,51.0,51.63,50.75,51.0,768000
1970-12-04 00:00:00,51.0,51.13,50.63,51.13,814400
1970-12-07 00:00:00,51.13,51.63,50.75,51.5,1755200
1970-12-08 00:00:00,51.5,52.0,51.25,51.88,1222400
1970-12-09 00:00:00,51.88,52.63,51.5,52.5,1080000
1970-12-10 00:00:00,52.5,53.13,52.38,52.63,1008000
1970-12-11 00:00:00,52.75,53.5,52.75,53.13,764800
1970-12-14 00:00:00,53.13,53.13,52.5,52.5,352000
1970-12-15 00:00:00,52.5,52.75,52.13,52.38,420800
1970-12-16 00:00:00,52.38,52.5,51.5,52.25,452800
1970-12-17 00:00:00,52.25,53.13,52.25,53.13,296000
1970-12-18 00:00:00,53.13,53.38,52.88,53.13,345600
1970-12-21 00:00:00,53.13,53.5,52.88,53.38,384000
1970-12-22 00:00:00,53.38,53.38,52.63,53.0,894400
1970-12-23 00:00:00,53.0,54.0,52.75,53.63,718400
1970-12-24 00:00:00,53.63,53.88,53.38,53.75,200000
1970-12-28 00:00:00,53.75,53.75,53.13,53.75,633600
1970-12-29 00:00:00,53.75,54.25,53.75,54.25,707200
1970-12-30 00:00:00,54.38,54.88,54.38,54.75,587200
1970-12-31 00:00:00,54.75,54.88,54.38,54.5,377600
1971-01-04 00:00:00,54.38,54.38,53.5,53.5,361600
1971-01-05 00:00:00,53.5,53.88,53.13,53.63,734400
1971-01-06 00:00:00,53.63,54.13,53.63,53.88,473600
1971-01-07 00:00:00,53.88,54.63,53.75,54.13,870400
1971-01-08 00:00:00,54.13,54.63,54.0,54.25,574400
1971-01-11 00:00:00,54.25,54.75,52.75,54.0,708800
1971-01-12 00:00:00,53.88,53.88,53.13,53.25,577600
1971-01-13 00:00:00,52.88,52.88,50.13,50.88,2430400
1971-01-14 00:00:00,50.88,51.0,49.5,51.0,1636800
1971-01-15 00:00:00,51.0,51.25,50.75,51.0,697600
1971-01-18 00:00:00,51.0,51.75,50.88,51.75,820800
1971-01-19 00:00:00,51.75,52.25,51.63,52.25,712000
1971-01-20 00:00:00,52.25,52.63,52.0,52.38,617600
1971-01-21 00:00:00,52.38,52.88,52.13,52.5,849600
1971-01-22 00:00:00,52.5,53.5,52.38,53.0,1000000
1971-01-25 00:00:00,52.75,52.75,52.0,52.25,662400
1971-01-26 00:00:00,52.25,52.25,51.75,52.0,659200
1971-01-27 00:00:00,51.88,51.88,51.38,51.88,529600
1971-01-28 00:00:00,51.88,52.63,51.5,52.13,619200
1971-01-29 00:00:00,52.25,53.38,52.25,53.25,635200
1971-02-01 00:00:00,53.5,54.5,53.5,54.0,1416000
1971-02-02 00:00:00,54.0,54.38,52.5,52.88,915200
1971-02-03 00:00:00,52.88,53.38,51.63,53.38,676800
1971-02-04 00:00:00,52.88,52.88,52.25,52.63,331200
1971-02-05 00:00:00,52.63,53.38,52.38,53.25,540800
1971-02-08 00:00:00,53.25,53.38,53.0,53.38,400000
1971-02-09 00:00:00,53.38,53.5,52.63,52.63,526400
1971-02-10 00:00:00,52.63,53.38,52.38,52.88,668800
1971-02-11 00:00:00,52.88,53.38,52.75,52.88,721600
1971-02-12 00:00:00,52.88,54.13,52.88,54.0,968000
1971-02-16 00:00:00,54.25,54.88,54.25,54.25,1284800
1971-02-17 00:00:00,54.25,54.88,54.25,54.63,827200
1971-02-18 00:00:00,54.63,54.88,54.0,54.75,790400
1971-02-19 00:00:00,54.75,54.88,54.63,54.75,372800
1971-02-22 00:00:00,54.75,54.75,53.75,54.25,668800
1971-02-23 00:00:00,54.25,54.38,53.63,53.75,579200
1971-02-24 00:00:00,53.75,54.38,53.5,54.25,704000
1971-02-25 00:00:00,54.25,55.88,54.13,55.75,1016000
1971-02-26 00:00:00,55.75,55.75,53.63,54.88,1195200
1971-03-01 00:00:00,54.88,55.25,54.63,55.0,496000
1971-03-02 00:00:00,55.0,55.75,54.88,55.63,820800
1971-03-03 00:00:00,55.63,56.38,55.63,56.0,702400
1971-03-04 00:00:00,56.0,56.38,55.63,56.25,496000
1971-03-05 00:00:00,56.25,58.0,56.25,57.88,1123200
1971-03-08 00:00:00,57.88,58.5,57.88,58.0,819200
1971-03-09 00:00:00,58.0,58.5,57.75,58.0,747200
1971-03-10 00:00:00,58.0,58.25,57.63,57.75,532800
1971-03-11 00:00:00,57.75,58.13,57.38,58.0,334400
1971-03-12 00:00:00,58.0,58.13,57.75,58.0,291200
1971-03-15 00:00:00,58.0,58.88,57.88,58.88,312000
1971-03-16 00:00:00,58.88,59.5,58.75,59.38,400000
1971-03-17 00:00:00,58.88,58.88,58.0,58.5,766400
1971-03-18 00:00:00,58.5,58.75,58.13,58.25,963200
1971-03-19 00:00:00,58.25,58.25,57.5,57.5,518400
1971-03-22 00:00:00,57.5,57.63,56.88,57.25,364800
1971-03-23 00:00:00,57.25,58.25,57.13,58.0,507200
1971-03-24 00:00:00,58.0,58.13,57.0,57.25,753600
1971-03-25 00:00:00,57.0,57.0,55.5,56.75,945600
1971-03-26 00:00:00,56.75,57.13,56.5,56.88,209600
1971-03-29 00:00:00,56.88,57.0,55.88,56.25,406400
1971-03-30 00:00:00,56.25,56.5,55.75,56.25,337600
1971-03-31 00:00:00,56.25,56.88,56.13,56.5,356800
1971-04-01 00:00:00,56.5,56.75,56.13,56.38,235200
1971-04-02 00:00:00,56.38,56.75,56.38,56.5,312000
1971-04-05 00:00:00,56.63,57.38,56.63,57.13,473600
1971-04-06 00:00:00,57.38,58.63,57.38,58.63,800000
1971-04-07 00:00:00,58.63,60.0,58.5,59.63,774400
1971-04-08 00:00:00,59.63,60.25,59.63,59.63,616000
1971-04-12 00:00:00,59.63,60.25,59.38,60.13,400000
1971-04-13 00:00:00,60.13,60.38,59.63,59.63,454400
1971-04-14 00:00:00,59.63,59.75,58.75,59.5,304000
1971-04-15 00:00:00,59.5,60.63,59.25,60.5,795200
1971-04-16 00:00:00,60.63,62.13,60.63,61.63,915200
1971-04-19 00:00:00,61.63,62.88,61.13,62.88,478400
1971-04-20 00:00:00,62.88,62.88,62.0,62.5,808000
1971-04-21 00:00:00,62.25,62.25,61.38,62.13,520000
1971-04-22 00:00:00,62.13,62.38,61.75,62.0,364800
1971-04-23 00:00:00,62.0,62.75,61.25,62.75,432000
1971-04-26 00:00:00,62.75,63.25,62.0,62.0,603200
1971-04-27 00:00:00,62.0,62.13,61.38,61.63,403200
1971-04-28 00:00:00,61.75,63.13,61.75,62.13,411200
1971-04-29 00:00:00,62.5,63.38,62.5,62.5,414400
1971-04-30 00:00:00,62.5,63.0,62.25,62.88,246400
1971-05-03 00:00:00,62.75,62.75,61.5,62.13,436800
1971-05-04 00:00:00,61.75,61.75,60.75,61.5,449600
1971-05-05 00:00:00,61.5,61.88,61.13,61.5,284800
1971-05-06 00:00:00,61.5,61.5,60.75,61.0,310400
1971-05-07 00:00:00,60.88,60.88,59.25,60.5,552000
1971-05-10 00:00:00,60.5,60.5,59.63,60.5,520000
1971-05-11 00:00:00,60.5,61.25,60.25,61.0,344000
1971-05-12 00:00:00,61.0,61.5,60.75,60.88,452800
1971-05-13 00:00:00,60.5,60.5,59.38,59.63,406400
1971-05-14 00:00:00,59.63,59.88,58.25,58.88,531200
1971-05-17 00:00:00,58.75,58.75,57.75,58.25,353600
1971-05-18 00:00:00,58.25,58.88,57.38,58.0,524800
1971-05-19 00:00:00,58.13,58.88,58.13,58.13,323200
1971-05-20 00:00:00,58.13,58.75,58.13,58.5,294400
1971-05-21 00:00:00,58.5,58.5,58.0,58.0,216000
1971-05-24 00:00:00,58.0,58.25,56.88,57.25,406400
1971-05-25 00:00:00,56.88,56.88,55.63,56.5,680000
1971-05-26 00:00:00,56.5,57.0,56.25,56.63,462400
1971-05-27 00:00:00,56.63,56.88,56.25,56.88,481600
1971-05-28 00:00:00,56.88,57.13,56.5,56.63,308800
1971-06-01 00:00:00,56.63,58.0,56.5,57.38,296000
1971-06-02 00:00:00,57.38,58.38,57.0,58.13,470400
1971-06-03 00:00:00,58.88,59.88,58.88,58.88,526400
