date,open,high,low,close,volume
1986-03-13 00:00:00,25.5,29.25,25.5,28.0,1031788800
1986-03-14 00:00:00,28.0,29.5,28.0,29.0,308160000
1986-03-17 00:00:00,29.0,29.75,29.0,29.5,133171200
1986-03-18 00:00:00,29.5,29.75,28.5,28.75,67766400
1986-03-19 00:00:00,28.75,29.0,28.0,28.25,47894400
1986-03-20 00:00:00,28.25,28.25,27.25,27.5,58435200
1986-03-21 00:00:00,27.5,28.0,26.25,26.75,59990400
1986-03-24 00:00:00,26.75,26.75,25.75,26.0,65289600
1986-03-25 00:00:00,26.0,26.5,25.75,26.5,32083200
1986-03-26 00:00:00,26.5,27.5,26.25,27.25,22752000
1986-03-27 00:00:00,27.25,27.75,27.25,27.75,16848000
1986-03-31 00:00:00,27.75,27.75,27.0,27.5,12873600
1986-04-01 00:00:00,27.5,27.5,27.25,27.25,11088000
1986-04-02 00:00:00,27.25,28.0,27.25,27.5,27014400
1986-04-03 00:00:00,27.75,28.5,27.75,27.75,23040000
1986-04-04 00:00:00,27.75,28.0,27.75,27.75,26582400
1986-04-07 00:00:00,27.75,28.0,26.75,27.25,16560000
1986-04-08 00:00:00,27.25,28.0,27.25,27.5,10252800
1986-04-09 00:00:00,27.5,28.25,27.5,28.0,12153600
1986-04-10 00:00:00,28.0,28.5,27.5,28.25,13881600
1986-04-11 00:00:00,28.5,29.25,28.5,28.75,17222400
1986-04-14 00:00:00,28.75,29.25,28.75,29.0,12153600
1986-04-15 00:00:00,29.0,29.0,28.0,29.0,9302400
1986-04-16 00:00:00,29.0,30.25,28.75,30.0,31910400
1986-04-17 00:00:00,30.0,30.25,30.0,30.25,22003200
1986-04-18 00:00:00,30.25,30.25,29.0,29.25,21628800
1986-04-21 00:00:00,29.25,29.5,28.5,29.25,22924800
1986-04-22 00:00:00,29.25,29.25,28.75,28.75,15552000
1986-04-23 00:00:00,28.75,29.0,28.5,28.87,15609600
1986-04-24 00:00:00,28.87,32.25,28.75,31.75,62352000
1986-04-25 00:00:00,32.0,35.13,32.0,33.75,85795200
1986-04-28 00:00:00,33.75,34.25,33.5,34.0,28886400
1986-04-29 00:00:00,34.0,34.0,32.75,33.0,30326400
1986-04-30 00:00:00,33.0,33.25,31.5,32.25,30902400
1986-05-01 00:00:00,32.25,32.25,31.25,31.75,54345600
1986-05-02 00:00:00,31.75,32.25,31.5,31.75,20246400
1986-05-05 00:00:00,31.75,31.75,31.5,31.5,3254400
1986-05-06 00:00:00,31.75,32.25,31.75,31.75,9734400
1986-05-07 00:00:00,31.75,32.0,31.25,31.75,5155200
1986-05-08 00:00:00,31.75,32.0,31.5,32.0,3542400
1986-05-09 00:00:00,32.0,32.0,31.75,31.75,6076800
