date, open, high, low, close, volume
2011-11-08 00:00:00,127.4,128.41,126.16,128.3,370696
2011-11-09 00:00:00,125.32,125.88,123.32,123.54,648565
2011-11-10 00:00:00,125.22,125.36,123.46,124.77,485116
2011-11-11 00:00:00,126.26,127.41,126.24,127.1,351054
2011-11-14 00:00:00,126.6,126.76,125.38,125.88,331682
2011-11-15 00:00:00,125.56,127.17,125.15,126.58,464429
2011-11-16 00:00:00,125.24,126.75,124.32,124.48,683277
2011-11-17 00:00:00,124.27,124.54,121.68,122.5,719703
2011-11-18 00:00:00,122.9,123.11,121.91,122.38,395428
2011-11-21 00:00:00,120.56,120.72,119.09,120.05,547344
2011-11-22 00:00:00,119.82,120.48,118.92,119.57,491312
2011-11-23 00:00:00,116.93,116.93,116.93,116.93,0
2011-11-25 00:00:00,116.79,118.03,116.64,116.64,223852
2011-11-28 00:00:00,119.92,120.51,119.26,120.04,616987
2011-11-29 00:00:00,120.44,121.25,120.02,120.47,552875
2011-11-30 00:00:00,123.87,125.62,123.66,125.23,1288638
2011-12-01 00:00:00,125.25,126.06,124.85,125.36,609030
2011-12-02 00:00:00,126.56,126.91,125.22,125.32,660613
2011-12-05 00:00:00,127.29,127.61,125.89,126.63,887556
2011-12-06 00:00:00,126.63,127.53,126.21,126.7,526983
2011-12-07 00:00:00,126.24,127.67,125.41,127.1,647264
2011-12-08 00:00:00,126.33,126.6,124.09,124.41,632196
2011-12-09 00:00:00,124.93,126.79,124.83,126.46,541763
2011-12-12 00:00:00,125.4,125.4,123.6,124.64,780631
2011-12-13 00:00:00,125.32,125.99,122.88,123.49,695619
2011-12-14 00:00:00,123.01,123.42,121.88,122.05,1089846
2011-12-15 00:00:00,123.48,123.6,122.43,122.59,781015
2011-12-16 00:00:00,123.43,124.09,122.49,122.82,1258628
2011-12-19 00:00:00,123.24,123.49,121.22,121.48,884427
2011-12-20 00:00:00,123.36,125.31,123.36,125.12,1202686
2011-12-21 00:00:00,125.08,125.56,123.96,125.32,735204
2011-12-22 00:00:00,125.03,125.8,124.78,125.74,347329
2011-12-23 00:00:00,126.8,126.8,126.8,126.8,0
2011-12-27 00:00:00,126.62,127.24,126.52,126.88,360343
2011-12-28 00:00:00,126.91,126.97,125.18,125.35,628412
2011-12-29 00:00:00,125.7,126.68,125.62,126.54,287407
2011-12-30 00:00:00,125.96,125.96,125.96,125.96,0
2012-01-03 00:00:00,128.23,128.82,127.9,128.02,1613502
2012-01-04 00:00:00,127.66,128.24,127.16,128.13,430818
2012-01-05 00:00:00,127.49,128.67,126.88,128.49,823190
2012-01-06 00:00:00,128.63,128.63,127.74,128.27,380164
2012-01-09 00:00:00,128.47,128.62,127.87,128.37,611393
2012-01-10 00:00:00,129.82,130.09,129.41,129.59,689476
2012-01-11 00:00:00,129.22,129.83,128.98,129.69,687887
2012-01-12 00:00:00,129.99,130.15,129.0,130.0,479162
2012-01-13 00:00:00,129.5,129.5,129.5,129.5,0
2012-01-17 00:00:00,130.51,130.75,129.51,129.75,591195
2012-01-18 00:00:00,129.76,131.28,129.54,131.22,408696
2012-01-19 00:00:00,131.66,132.02,131.28,131.94,579445
2012-01-20 00:00:00,131.7,131.99,131.38,131.91,457510
2012-01-23 00:00:00,131.97,132.7,131.46,132.03,799770
2012-01-24 00:00:00,131.27,131.94,131.07,131.91,318822
2012-01-25 00:00:00,131.69,133.32,131.22,133.01,595828
2012-01-26 00:00:00,133.63,133.83,131.82,132.33,449611
2012-01-27 00:00:00,131.73,132.49,131.64,132.18,337990
2012-01-30 00:00:00,130.97,131.88,130.53,131.79,550080
2012-01-31 00:00:00,132.5,132.64,131.14,131.77,628083
2012-02-01 00:00:00,132.77,133.58,132.6,132.86,759473
2012-02-03 00:00:00,134.48,135.09,134.26,135.04,1185197
2012-02-06 00:00:00,134.49,134.96,134.35,134.87,379796
2012-02-07 00:00:00,134.64,135.48,134.12,135.23,310739
2012-02-08 00:00:00,135.35,135.68,134.79,135.63,391615
2012-02-09 00:00:00,135.9,136.05,135.04,135.82,692432
2012-02-10 00:00:00,134.67,134.94,134.32,134.88,418928
2012-02-13 00:00:00,135.69,135.98,135.24,135.82,315655
2012-02-14 00:00:00,135.39,135.73,134.74,135.67,541544
2012-02-15 00:00:00,136.11,136.31,134.78,135.07,1034499
2012-02-16 00:00:00,135.05,136.64,134.83,136.52,424359
2012-02-17 00:00:00,137.0,137.05,136.44,136.85,471414
2012-02-21 00:00:00,137.19,137.53,136.53,136.95,386960
2012-02-22 00:00:00,136.72,137.01,136.28,136.49,332834
2012-02-23 00:00:00,136.43,137.2,135.98,137.14,827667
2012-02-24 00:00:00,137.39,137.67,137.12,137.37,314824
2012-02-27 00:00:00,136.51,138.0,136.28,137.67,470229
2012-02-28 00:00:00,137.7,138.13,137.43,138.05,341861
2012-02-29 00:00:00,138.2,138.67,137.2,137.32,777293
2012-03-01 00:00:00,137.77,138.47,137.63,138.21,873487
2012-03-02 00:00:00,138.17,138.28,137.49,137.85,294711
2012-03-05 00:00:00,137.54,137.66,136.78,137.28,303975
2012-03-06 00:00:00,135.79,135.87,134.84,135.16,471147
2012-03-07 00:00:00,135.56,136.37,135.44,136.18,361542
2012-03-08 00:00:00,137.0,137.8,136.73,137.45,444264
2012-03-09 00:00:00,137.85,138.41,137.64,138.05,442654
2012-03-12 00:00:00,138.09,138.2,137.59,138.07,427079
2012-03-13 00:00:00,138.81,140.6,138.59,140.56,556571
2012-03-14 00:00:00,140.63,140.94,139.99,140.38,338119
2012-03-15 00:00:00,140.61,141.27,140.3,141.22,455597
2012-03-16 00:00:00,141.5,141.58,141.15,141.41,529621
2012-03-19 00:00:00,141.31,142.4,141.25,141.99,422473
2012-03-20 00:00:00,141.17,141.73,140.78,141.56,366706
2012-03-21 00:00:00,141.63,141.77,141.06,141.3,462974
2012-03-22 00:00:00,140.24,140.65,139.88,140.28,582868
2012-03-23 00:00:00,140.45,140.92,139.67,140.81,395988
2012-03-26 00:00:00,141.14,142.06,141.11,142.06,444346
2012-03-27 00:00:00,142.32,142.32,141.6,141.67,400096
2012-03-28 00:00:00,141.61,141.72,140.14,141.0,519191
2012-03-29 00:00:00,140.11,140.91,139.59,140.71,612717
2012-03-30 00:00:00,141.43,141.55,140.6,141.21,488730
2012-04-02 00:00:00,141.13,142.7,140.88,142.32,668414
2012-04-03 00:00:00,142.12,142.36,140.93,141.78,696858
2012-04-04 00:00:00,140.64,140.83,139.86,140.27,796664
2012-04-05 00:00:00,139.88,140.69,139.79,140.3,332285
2012-04-09 00:00:00,138.49,139.27,138.33,138.69,342401
2012-04-10 00:00:00,138.45,138.76,136.25,136.37,1221401
