Date,EMU,FAR EAST,JAPAN,NORTH AMERICA,PACIFIC ex JAPAN
capitalization,3.32E+12,5.12E+12,2.49E+12,1.65E+13,3.85E+12
31/12/1987,100,2841.02,3036.61,255.91,271.98
29/01/1988,91.73,2992.14,3198.94,265.03,268.45
29/02/1988,102.65,3210.31,3439.3,275.75,266.41
31/03/1988,103.74,3449.3,3697.22,267.22,297.72
29/04/1988,105.03,3486.32,3734.42,268.98,311.22
31/05/1988,103.43,3331.15,3564.44,269.49,332.28
30/06/1988,104.24,3216.44,3428.9,281.96,337.13
29/07/1988,103.8,3359.65,3584.89,279.88,349.76
31/08/1988,100.73,3103.61,3312.92,269.22,329.85
30/09/1988,106.66,3232.09,3454.39,279.43,323.21
31/10/1988,117.25,3498.37,3741.39,287.19,343.42
30/11/1988,118.17,3800.5,4072.53,282.14,340.83
30/12/1988,120.19,3823,4094.58,286.16,341.48
31/01/1989,118.27,3845.98,4105.42,307.18,376
28/02/1989,116.73,3915.81,4183.47,297.04,345.79
31/03/1989,117.34,3784,4036.09,302.57,350.48
28/04/1989,121.75,3782.76,4028.27,317.43,360.98
31/05/1989,116.85,3566.72,3798.92,327.98,343.48
30/06/1989,122.15,3399.27,3627.52,326.51,328.24
31/07/1989,133.39,3844.94,4107.44,355.12,356.62
31/08/1989,132.79,3582.72,3822.82,359.56,370.89
29/09/1989,137.91,3810.63,4065.2,357.44,379.97
31/10/1989,131,3710.13,3957.43,349.03,365.9
30/11/1989,138.88,3895.39,4158.06,354.97,364.96
29/12/1989,155.89,3892.31,4149.24,361.93,379.8
31/01/1990,153.78,3664.03,3898.43,336.67,376.13
28/02/1990,149.49,3303.05,3494.19,340.34,370.03
30/03/1990,157.41,2686.3,2815.5,347.01,363.86
30/04/1990,156.15,2711.88,2849.92,337.48,343.71
31/05/1990,160.11,3092.68,3256.63,367.21,374.84
29/06/1990,163.25,2956.33,3103.42,364.86,385.25
31/07/1990,169.9,2924.63,3060.31,363.88,404.42
31/08/1990,147.73,2633.98,2761.28,330.66,372.06
28/09/1990,127.68,2205.38,2308.08,314.38,336.52
31/10/1990,139.93,2721.1,2866.25,311.73,330.89
30/11/1990,138.17,2404.81,2520.48,330.28,326.52
31/12/1990,134.67,2514.31,2637.6,338.81,325.09
31/01/1991,137.09,2587.89,2711.21,352.75,343.17
28/02/1991,149.95,2911.14,3051.75,376.07,374.5
29/03/1991,137.18,2742.64,2860.69,383.54,382.28
30/04/1991,136.34,2804.36,2930.59,384.22,393.74
31/05/1991,141.71,2794.83,2915.75,399.03,393.77
28/06/1991,128.94,2600.5,2704.53,380.33,390.86
31/07/1991,133.08,2683.02,2786.75,396.29,412.23
30/08/1991,135.18,2539.43,2631.42,404.54,405.7
30/09/1991,139.21,2743.77,2859.79,396.4,408.55
31/10/1991,136.27,2857.08,2981.87,402.95,422.49
29/11/1991,136.02,2668.61,2769.8,386.08,417.09
31/12/1991,145.67,2753.47,2855.85,426.08,425.67
31/01/1992,146.37,2643.03,2721.99,418.78,434.08
28/02/1992,149.35,2444.26,2493.21,421.99,446.52
31/03/1992,145.2,2195.13,2221.47,412.17,442.06
30/04/1992,147.48,2080.24,2083.28,422.07,461.68
29/05/1992,154.77,2249.76,2248.44,422.78,491.69
30/06/1992,153.46,2063.24,2041.33,415.75,485.41
31/07/1992,146.29,2033.64,2016.46,431.55,471.82
